insurer,state,doc_type,filename,source_url,access_date,policy_last_updated
Anthem BCBS,Georgia,HIPAA Notice,anthem_BCBS_privacy_practices.pdf,https://www.anthem.com/privacy,2026-06-13,2026-02
Anthem BCBS,Georgia,HIPAA Notice (Spanish),anthem_BCBS_privacy_spanish.pdf,https://www.anthem.com/privacy,2026-06-13,2026-04
UnitedHealthcare,Georgia,HIPAA Notice,united_hipaa_privacy.pdf,https://www.uhc.com/privacy,2026-06-13,2026-02-01
UnitedHealthcare,Georgia,Online Privacy Policy,UHC_privacy.docx,https://www.uhc.com/privacy,2026-06-13,2023-07-10
Aetna,Georgia,Web Privacy Statement,Aetna_privacy.docx,https://www.aetna.com/legal-notices/privacy.html,2026-06-13,2026-05-18
Cigna,Georgia,HIPAA Notice,cigna_hipaa_notice.pdf,https://www.cigna.com/legal/compliance/privacy-notices,2026-06-17,2025-08-18
Cigna,Georgia,GLB Notice,cigna_glb_notice.pdf,https://www.cigna.com/legal/compliance/privacy-notices,2026-06-17,2024-07
Cigna,Georgia,Data Sharing Notice,cigna_data_sharing.docx,https://www.cigna.com/legal/compliance/privacy-notices,2026-06-17,2026
Cigna,Georgia,Global Health Benefits Notice,cigna_global_health_benefits.pdf,https://www.cigna.com/legal/compliance/privacy-notices,2026-06-17,2025-10
Humana,Georgia,HIPAA Notice,humana_privacy_practices.pdf,https://www.humana.com/legal/privacy-practices,2026-06-17,2026-01
