run_timestamp,insurer,state,doc_type,opt_out_pathway,total_steps,locate_steps,act_steps,verify_steps,total_flags,flags_list,opt_in_steps,asymmetry_exists,ambiguous_notes,coder,date_coded
6/17/2026 21:58,Aetna,Georgia,Web Privacy Policy,Email contact for privacy inquiries,2,1,1,0,1,Insurer may decline the request,not specified,FALSE,Email listed for questions only; no explicit opt-out mechanism described,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Anthem BCBS,Georgia,HIPAA Notice,Opt-out of PHI sharing with health information exchanges,2,1,1,0,1,Prior disclosures cannot be undone,not specified,FALSE,Process at anthem.com/privacy not fully described in doc,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Anthem BCBS,Georgia,HIPAA Notice,Opt-out of unspecified PI sharing activities (state notice),2,1,1,0,1,Opt-out not available for this data type,not specified,FALSE,Doc says opt-out available only for certain activities,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Anthem BCBS,Georgia,HIPAA Notice,Cancel written authorization for PHI use/sharing,1,0,1,0,1,Prior disclosures cannot be undone,not specified,TRUE,Opt-in requires written permission; opt-out also written,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Anthem BCBS,Georgia,HIPAA Notice (Spanish),Opt-out of PHI disclosure to health info exchanges,2,1,1,0,1,Insurer may decline the request,not specified,FALSE,Process after navigating to URL not fully described,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Anthem BCBS,Georgia,HIPAA Notice (Spanish),Opt-out of PI use for certain activities (state notice),2,1,1,0,1,Insurer may decline the request,not specified,FALSE,Notice says they will inform member how to opt-out when applicable,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Anthem BCBS,Georgia,HIPAA Notice (Spanish),Revoke written authorization for PHI use,1,0,1,0,1,Prior disclosures cannot be undone,not specified,TRUE,Method of revocation not specified; prior uses cannot be undone,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Cigna,Georgia,Data Sharing Notice,Provider Access Data Sharing Opt-Out,2,1,1,0,2,Default opt-in; Prior disclosures cannot be undone,not specified,TRUE,Opt-out mechanism not described; default is sharing enabled,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Cigna,Georgia,Data Sharing Notice,Third-Party App Data Authorization (no opt-out),0,0,0,0,3,Opt-out not available for this data type; Prior disclosures cannot be undone; Insurer may decline the request,not specified,FALSE,No opt-out described; Cigna cannot control app use after auth,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Cigna,Georgia,Global Health Benefits Notice,Marketing use of PHI,0,0,0,0,2,Opt-out not available for this data type; Default opt-in,written authorization required,TRUE,No opt-out described; written auth required before marketing use,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Cigna,Georgia,HIPAA Notice,Opt-out of disclosure to individuals involved in care,2,0,2,0,1,Default opt-in,not specified,TRUE,No address provided; writing required but destination not described,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Cigna,Georgia,GLB Notice,No opt-out pathway described,0,0,0,0,1,Opt-out not available for this data type,not specified,FALSE,Federal law bars limiting sharing; no opt-out mechanism provided,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,Humana,Georgia,HIPAA Notice,Opt-out of health-related benefit contacts,1,0,1,0,1,Default opt-in,not specified,FALSE,No mechanism described; only states 'if you have opted out',claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,UnitedHealthcare,Georgia,Web Privacy Policy,Location Data Opt-Out (Mobile Device),1,0,1,0,1,Prior disclosures cannot be undone,not specified,FALSE,Withdrawal disables location functionality permanently during opt-out,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,UnitedHealthcare,Georgia,HIPAA Notice,Revoke written permission for special uses,3,1,2,0,2,Prior disclosures cannot be undone; Insurer may decline the request,provide written permission,TRUE,Revocation process only partially described; steps inferred minimally,claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,UnitedHealthcare,Georgia,HIPAA Notice,Request limit on use or sharing of HI,3,1,2,0,1,Insurer may decline the request,not specified,FALSE,Notice says 'we will try to honor but do not have to',claude-sonnet-4-6,6/17/2026 21:58
6/17/2026 21:58,UnitedHealthcare,Georgia,HIPAA Notice,Request confidential communications change,3,1,2,0,0,,not specified,FALSE,Verbal request accepted but written confirmation may be required,claude-sonnet-4-6,6/17/2026 21:58
